key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,genres
7.0,0.8169409999999999,0.125213,128.027,0.045529,0.005553,0.738559,0.0,4.0,315.16,-10.585,0.058726,0.731381,0.011,0.448,0.73,1.0,dance
1.0,0.905944,0.175396,173.985,0.06827899999999999,6.2e-05,0.77114,1.0,4.0,272.06667,-3.164,0.6542629999999999,0.573232,0.542,0.58,0.005,1.0,dance
9.0,0.7793009999999999,0.354363,139.818,0.045676,0.011365,0.004474,1.0,4.0,196.90667,-5.227,0.337198,0.514385,0.32,0.493,0.834,1.0,dance
10.0,0.9446169999999999,0.102894,125.013,0.041755,0.0034089999999999997,0.072701,0.0,4.0,246.42667,-6.165,0.8448700000000001,0.694506,0.299,0.403,0.917,1.0,dance
6.0,0.8109759999999999,0.064914,117.999,0.21859099999999998,0.03282,0.000517,0.0,4.0,223.98667,-7.503,0.77968,0.711382,0.549,0.579,0.684,1.0,dance
9.0,0.889798,0.127476,127.871,0.07127399999999999,0.000124,0.261739,0.0,4.0,333.34948,-3.885,0.176848,0.641747,0.296,0.28700000000000003,0.76,0.988,dance
9.0,0.589619,0.347443,128.016,0.069953,0.015292,0.00017099999999999998,1.0,4.0,162.6,-9.182,0.962563,0.7719800000000001,0.374,0.385,0.858,1.0,dance
6.0,0.852358,0.130438,95.028,0.07889299999999999,0.028194,0.00026399999999999997,0.0,4.0,214.35351,-6.471,0.8228500000000001,0.825403,0.315,0.423,0.834,1.0,dance
5.0,0.7608969999999999,0.09726499999999999,111.892,0.055368999999999995,0.18784399999999998,1e-05,1.0,4.0,267.16,-7.033,0.7939900000000001,0.734024,0.434,0.35000000000000003,1.0,0.96,dance
7.0,0.896269,0.07090099999999999,127.97,0.28500000000000003,0.008067999999999999,0.306125,1.0,4.0,315.0,-8.919,0.374505,0.902238,0.005,0.263,0.8150000000000001,1.0,dance
10.0,0.951801,0.040257999999999995,139.598,0.050685999999999995,0.006964,0.654075,0.0,4.0,357.62667,-6.296,0.070643,0.537914,0.928,0.8150000000000001,0.68,0.904,dance
0.0,0.807283,0.100191,129.919,0.035685,0.013925,0.0032909999999999997,0.0,4.0,246.4,-3.7640000000000002,0.401373,0.622551,0.292,0.484,0.8180000000000001,0.658,dance
3.0,0.655426,0.068477,119.747,0.037118,0.150857,0.002111,0.0,4.0,218.62667,-10.842,0.9708819999999999,0.769848,0.559,0.631,0.8260000000000001,0.741,dance
4.0,0.8273100000000001,0.18800699999999998,127.956,0.037355,0.0033439999999999998,0.004566,1.0,4.0,228.8,-5.087,0.152468,0.47959799999999997,0.379,0.434,0.84,0.798,dance
0.0,0.994339,0.279367,135.001,0.034651,0.200699,0.026964,0.0,4.0,191.96,-4.941,0.9569449999999999,0.7220700000000001,0.663,0.687,0.8280000000000001,0.969,dance
5.0,0.907821,0.04003,121.976,0.032587,0.552872,0.0,0.0,4.0,269.57333,-3.523,0.962533,0.795912,0.5720000000000001,0.603,0.962,1.0,dance
6.0,0.969224,0.16147499999999998,174.059,0.29056299999999996,3.3e-05,0.00039000000000000005,0.0,4.0,346.20689,-4.689,0.232491,0.544859,0.384,0.5680000000000001,0.722,1.0,dance
6.0,0.961406,0.074972,91.885,0.378878,0.00843,0.0,0.0,4.0,235.46667,-0.835,0.5071519999999999,0.495295,0.388,0.47900000000000004,0.231,0.9520000000000001,dance
5.0,0.922005,0.142575,128.039,0.175637,0.001486,0.147314,0.0,4.0,300.54667,-4.131,0.17529,0.43011099999999997,0.342,0.406,0.264,0.214,dance
10.0,0.8438939999999999,0.180198,129.323,0.036067,0.026085999999999998,0.604865,1.0,4.0,191.57333,-3.851,0.8276600000000001,0.766428,0.579,0.424,0.761,0.929,dance
4.0,0.364927,0.30843699999999996,77.978,0.055832,0.241577,0.0,1.0,4.0,293.34354,-17.972,0.558334,0.63731,0.28400000000000003,0.403,0.195,0.997,dance
2.0,0.801983,0.059049,139.815,0.16738799999999998,0.006312,4.1e-05,1.0,4.0,180.4,-2.168,0.33366399999999996,0.6355000000000001,0.63,0.372,0.6000000000000001,1.0,dance
0.0,0.857227,0.607266,122.98,0.030760000000000003,0.023684999999999998,0.461933,1.0,4.0,256.45333,-6.5280000000000005,0.9601139999999999,0.698986,0.625,0.47200000000000003,0.884,0.843,dance
2.0,0.9193749999999999,0.253617,127.002,0.051864999999999994,0.120751,0.6308100000000001,1.0,4.0,216.12998,-5.771,0.34796699999999997,0.609626,0.743,0.687,0.929,1.0,dance
7.0,0.8748079999999999,0.34854799999999997,125.13,0.195649,0.181731,0.000111,1.0,4.0,201.43637,-4.101,0.396636,0.5560419999999999,0.394,0.7010000000000001,0.656,1.0,dance
7.0,0.540029,0.263857,125.981,0.198188,0.03424,0.007606,1.0,4.0,379.02667,-4.965,0.46531599999999995,0.927093,0.395,0.546,0.9470000000000001,0.887,dance
1.0,0.7733019999999999,0.068796,110.003,0.11004699999999999,0.0012569999999999999,0.039861,1.0,4.0,244.52671,-4.295,0.47948799999999997,0.8146859999999999,0.363,0.41500000000000004,0.761,1.0,dance
1.0,0.7679739999999999,0.215524,110.076,0.052903,0.376482,0.030617,1.0,4.0,220.44,-6.625,0.8747400000000001,0.846341,0.447,0.586,0.934,1.0,dance
1.0,0.9464119999999999,0.355363,127.992,0.06867899999999999,0.00075,0.077679,1.0,4.0,292.90667,-2.876,0.332467,0.6156900000000001,0.41000000000000003,0.436,0.779,0.9480000000000001,dance
1.0,0.8019400000000001,0.323,125.094,0.046936,0.010799,0.000198,0.0,4.0,196.81333,-7.085,0.156986,0.410529,0.274,0.495,0.714,0.748,dance
